userid	birthdate	sex
36217499	17.8	2
138087069	3.7	1
58086053	24.3.1992	2
99003056	13.11	2
13799950	15.10.1985	2
12805823	30.8	2
78960323	23.1	1
311007940	3.9	2
255928269	15.9.1991	2
102479959	13.6	2
149037779	20.12	2
55458516	7.5	1
117918421		2
236745430	14.5.1987	2
20024025		1
12007130	4.9.1993	1
9852635	26.5.1991	1
31214302	27.2	2
67209951	15.7.1984	1
27760353	23.3.1992	1
155152101	3.2.1993	2
102946534	16.12.1991	1
137822673	11.7.1988	2
151537385	12.8.1996	2
13457131	11.10.1992	2
100013522	25.5	2
275260143	26.9.1998	2
101387047	11.1.1985	2
31271668	16.7	1
25627388	10.6	1
12665813	18.11.1992	1
36274947	10.10.1991	1
138718981	7.5.1996	2
128615174	13.7.1988	1
107654921	30.8	2
127386379	16.7.1996	2
59613964	24.8.1993	1
125097750	10.1.1996	1
22405252	2.6	1
233721628	18.9	2
284094239	26.5.1994	1
122392355	26.9	2
124388132	5.7	2
212295462	15.11.1998	1
96211751	18.3	2
18683691	8.10.1993	1
146749917	21.4.1996	2
137815961	8.2	1
120899380	3.4	1
184604127	30.12.1997	1
131392321		1
169795398		1
70740808	25.2	2
27665699	9.12	2
39036749	17.5	2
69889871	15.1.1984	2
5147472	1.7	1
37095395	18.6.1993	2
70522711	15.4.1999	1
144489007	7.7.1991	1
10003291	26.9	1
180414300	1.12.1997	2
43391839	9.7	1
68014563	4.2	1
134834019	19.1	2
69811048	8.4.1986	2
29617005	21.6	1
180444015	22.12	1
122809205	10.4.1992	1
189801334	15.1.1991	1
17889146	8.10.1983	2
58419067	16.12	1
186730365	6.1.2000	1
34648967	8.1.1990	1
38722450	22.4.1990	1
84884	14.5	1
32867221	30.8	2
47648662	14.10.1994	2
50192280	17.11.1994	1
104960921	18.1	2
170067866		1
138255263	12.11	2
65380256	3.7.1995	1
49436579	4.9.1993	1
119738182	23.6	2
41088936		2
17337278	17.4.1990	1
97017795	6.2	2
50636037	9.7.1992	1
215165895	10.11	2
80536524	15.2.1997	2
232653774	3.2	2
213645133	29.6	2
5655715	26.6	2
51945429		1
141364183	15.10	1
276063192	27.6.1999	2
102319068	8.1.1996	2
105285600		2
118097901	21.4	2
10070141	23.2.1988	1
68502522	15.7	1
23162878	28.12.1989	1
